SystematicName	Hits
NM_001005490	1
NM_001005516	1
NM_001001923	1
NM_021648	1
NM_001005466	1
NM_054104	1
NM_198451	1
NM_002367	1
NM_001024661	1
NM_001145073	1
NM_175922	1
NM_001104548	1
NM_001005327	1
NM_001257177	3
NM_001271592	2
XM_003960856	1
XM_003403624	1
XM_003403623	1
XM_003119490	1
XM_001717531	2
XM_003846560	1
XM_003960871	1
XM_003846570	2
XM_003960875	1
XM_003846591	1
XM_003846595	1
XM_003960898	2
XM_003846624	1
XM_001718645	1
XM_001713850	1
XM_001716359	1
XM_003403765	1
XM_003119910	1
XM_001717423	1
XM_003403796	1
XM_003960933	1
XM_003846701	2
XM_003120058	1
XM_003403835	1
XM_003403550	1
XM_003846406	2
XM_003118846	1
XM_003846365	2
XM_003960018	2
XM_003960019	1
XM_003960020	2
XM_003960021	1
XM_003960022	2
XM_003960023	2
XM_003959912	2
XM_373030	1
XM_002342591	1
XM_003403515	1
XM_003846242	2
XM_003959926	1
XM_003959931	1
XM_003403451	1
XM_002343151	1
XM_001715897	1
XM_003959977	1
XM_003846280	1
XM_003403490	1
XM_036729	1
XM_003846276	1
XM_003403485	1
XM_002344251	1
XM_003846535	2
XM_003960058	2
XM_003960059	2
XM_003960060	2
XM_003960061	2
XM_003960062	2
XM_003960063	2
XM_003960064	2
XM_003960069	2
XM_003846491	2
XM_003960125	2
XM_003960137	1
XM_003960138	1
XM_003960162	1
XM_003960163	1
XM_003960179	1
XM_003960186	1
XM_003960187	1
XM_003960228	1
XM_003960229	1
XM_003960230	1
XM_003960231	1
XM_003960273	2
XM_003960306	1
XM_003960343	1
XM_003960372	1
XM_003960395	2
XM_003960417	1
XM_003960427	1
XM_003960461	1
XM_003960467	1
XM_003960485	2
XM_003960486	1
XM_003960511	1
XM_003960523	1
XM_003960530	1
XM_003960532	2
XM_003960549	1
XM_003960595	1
XM_003960653	1
XM_003960660	1
XM_003960670	1
XM_003960800	1
XM_003960813	1
XM_003960815	1
XM_003960851	1
NM_001013627	1
NM_172239	1
NM_175884	1
NM_152414	1
NM_001001920	1
NM_001005226	1
NM_001004458	1
NM_001004459	1
NM_001005282	1
NM_001079935	1
NM_001004454	1
NM_001005328	1
NM_001004476	1
NM_001001967	1
NM_001001960	1
NM_001004486	1
NM_001004712	1
NM_001004735	1
NM_001004737	1
NM_054107	1
NM_001007249	1
NM_001004746	1
NM_001005487	1
NM_001005501	1
NM_030946	1
NM_001005234	1
NM_006722	1
NM_005986	1
NM_005450	1
NM_001047980	1
NM_033224	1
NM_014335	1
NM_199461	1
NM_001012659	1
NM_001821	1
NM_001004125	1
NM_177925	1
NM_020844	1
NM_001111319	1
NM_133633	1
NM_001145095	1
NM_007156	1
NM_001105580	1
NM_198485	2
NM_001146313	1
NM_001134419	1
NM_012397	1
NM_207406	1
NM_001168683	1
NM_001171184	1
NM_001173489	1
NM_001145399	1
NM_001193421	1
NM_001193427	1
NM_178040	1
NM_001171080	1
NM_198158	1
NM_173698	1
NM_001195234	1
NM_014848	1
NM_001164748	1
NM_006205	1
NM_198178	1
NM_199039	1
NM_012194	1
NM_194317	2
NM_001195685	2
NM_001195296	2
NM_001195297	2
NM_138731	2
NM_001013693	1
NM_001018041	1
NM_001204456	1
NM_001207069	1
NM_173485	1
NM_178039	1
NM_004248	1
NM_000248	1
NM_001184967	1
NM_001206673	1
NM_001167580	1
NM_001199918	1
NM_001164747	1
NM_001204078	1
NM_001195553	1
NM_001002917	1
NM_001002918	1
NM_001198966	1
NM_001160224	1
NM_002182	1
NM_001167928	1
NM_001256504	4
NM_001252092	1
NM_001252093	1
NM_001256621	1
NM_001244682	1
NM_001242815	1
NM_001001914	1
NM_012360	1
NM_001004452	2
NM_053278	1
NM_001099692	1
NM_001005165	1
NM_152402	1
NM_019599	1
NM_002550	1
NM_030908	1
NM_012373	1
NM_203412	1
NM_001033503	1
NM_021639	1
NM_001243755	1
NM_001271852	2
NM_001271853	2
NM_004081	1
NM_032439	1
NM_001252499	1
NM_153619	1
NM_001144994	1
NM_020177	1
NM_005885	1
NM_001098579	1
NM_003430	1
NM_001079512	1
NM_001143774	1
NM_001012419	1
NM_001252500	1
NM_014850	1
NM_018688	1
NM_130385	1
NM_001039840	1
NM_001033117	1
NM_203446	1
NM_182314	1
NM_032622	1
NM_018656	1
NM_001257098	1
NM_199351	1
NM_003895	1
NM_001080534	1
NM_021148	1
NM_001160302	1
NM_001171988	1
NM_017686	1
NM_001098783	1
NM_174899	1
NM_030637	2
NM_016930	1
NM_001160147	2
NM_145660	1
NM_015398	1
NM_020888	1
NM_001160148	2
NM_173206	1
NM_001006655	1
NM_003501	1
NM_015394	1
NM_001100167	1
NM_138969	1
NM_001101667	1
NM_001206880	1
NM_001003702	1
NM_020714	1
NM_001206881	1
NM_006909	1
NM_004775	1
NM_001172411	1
