Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0000398~mRNA splicing, via spliceosome	135	2.5418941818866503	1.5624622410332186E-23	NM_014003, NM_031989, NM_002486, NM_005008, NM_015698, NM_032725, NM_004966, NM_018180, NM_006938, NM_003016, NM_006196, NM_014014, NM_016200, NM_005826, NM_031287, NM_002669, NM_016652, NM_006275, NM_006924, NM_033114, NM_015629, NM_001533, NM_002515, NM_005839, NM_014691, NM_131916, NM_014740, NM_002136, NM_002137, NM_005782, NM_032332, NM_016024, NM_002138, NM_002139, NM_003096, NM_133452, NM_003095, NM_003092, NM_198216, NM_012433, NM_016207, NM_003093, NM_006711, NM_013291, NM_031314, NM_006590, NM_021974, NM_001357, NM_017437, NM_007080, NM_002687, NM_006597, NM_005707, NM_031262, NM_018301, NM_016625, NM_005850, NM_006805, NM_006802, NM_004593, NM_020943, NM_007279, NM_016216, NM_004596, NM_016047, NM_006831, NM_012207, NM_177542, NM_020961, NM_014463, NM_018211, NM_153201, NM_018047, NM_005105, NM_016403, NM_080632, NM_194247, NM_004247, NM_001008697, NM_182800, NM_021231, NM_003913, NM_005869, NM_014502, NM_006233, NM_004630, NM_006232, NM_004396, NM_006425, NM_014706, NM_006372, NM_006625, NM_014280, NM_001031684, NM_002370, NM_020196, NM_012321, NM_007363, NM_005626, NM_012322, NM_012272, NM_007362, NM_024775, NM_020701, NM_001326, NM_004559, NM_001325, NM_144723, NM_005877, NM_172231, NM_006758, NM_018025, NM_022804, NM_022807, NM_024707, NM_007359, NM_007165, NM_003769, NM_021931, NM_016059, NM_001253, NM_004960, NM_015484, NM_006347, NM_032940, NM_000937, NM_000938, NM_024571, NM_017853, NM_005520, NM_004814, NM_031370, NM_014829, NM_024811, NM_152551, NM_004818, NM_032758	4776	222	16792	2.1380551405677037	1.168878002516951E-19	1.168878002516951E-19	3.099548809958185E-20
GOTERM_BP_DIRECT	GO:0007067~mitotic nuclear division	144	2.711353794012427	2.554388562839011E-22	NM_016141, NM_001258, NM_018455, NM_001255, NM_017518, NM_004354, NM_001488, NM_182620, NM_020675, NM_005157, NM_138369, NM_001010931, NM_006341, NM_207107, NM_080668, NM_152905, NM_006530, NM_020242, NM_004203, NM_152383, NM_003016, NM_145060, NM_001048194, NM_173685, NM_182513, NM_001269, NM_002497, NM_001012271, NM_001011553, NM_006325, NM_004365, NM_017975, NM_016343, NM_003747, NM_006400, NM_018715, NM_001012409, NM_004217, NM_004219, NM_020659, NM_003707, NM_007317, NM_181042, NM_007096, NM_014885, NM_030919, NM_015110, NM_032844, NM_000430, NM_018063, NM_018685, NM_001002244, NM_138795, NM_016224, NM_006519, NM_012177, NM_012237, NM_006396, NM_032429, NM_017645, NM_001005, NM_017760, NM_004701, NM_017815, NM_004344, NM_004336, NM_006600, NM_006086, NM_016195, NM_002532, NM_006704, NM_006520, NM_004436, NM_003390, NM_016238, NM_005862, NM_004060, NM_018944, NM_198433, NM_001008938, NM_001009954, NM_006247, NM_018492, NM_018353, NM_207042, NM_007280, NM_138632, NM_003920, NM_001211, NM_014881, NM_004723, NM_004724, NM_012120, NM_001786, NM_024057, NM_001761, NM_003384, NM_004523, NM_001790, NM_018136, NM_003957, NM_018131, NM_001040285, NM_153271, NM_022662, NM_012112, NM_031299, NM_006628, NM_033532, NM_194259, NM_012325, NM_007221, NM_145697, NM_001012507, NM_019013, NM_001798, NM_004082, NM_181716, NM_153719, NM_018164, NM_018165, NM_003611, NM_198887, NM_024808, NM_006265, NM_005030, NM_003157, NM_016263, NM_001237, NM_152562, NM_025054, NM_004741, NM_006845, NM_006101, NM_024511, NM_025180, NM_033489, NM_017489, NM_006447, NM_016478, NM_007174, NM_170589, NM_014268, NM_020782, NM_033417, NM_006354, NM_020238, NM_020382	4776	248	16792	2.0414978116388394	1.910938083859864E-18	9.55469041929932E-19	5.067291754124461E-19
GOTERM_BP_DIRECT	GO:0051301~cell division	183	3.445678779890793	4.224335431181256E-21	NM_001259, NM_016141, NM_001258, NM_001255, NM_017518, NM_001256, NM_032521, NM_052987, NM_018451, NM_004354, NM_182620, NM_020675, NM_138375, NM_018101, NM_138369, NM_006342, NM_000075, NM_006341, NM_018184, NM_178014, NM_207107, NM_080668, NM_152905, NM_152383, NM_006009, NM_145060, NM_001048194, NM_173685, NM_182513, NM_001269, NM_002497, NM_001012271, NM_002311, NM_032636, NM_032630, NM_006325, NM_004365, NM_017975, NM_005400, NM_016343, NM_017785, NM_003747, NM_004359, NM_018719, NM_018715, NM_001012409, NM_005496, NM_002710, NM_004219, NM_181698, NM_003707, NM_003718, NM_001017405, NM_005665, NM_007096, NM_004715, NM_014885, NM_032704, NM_030919, NM_015076, NM_015110, NM_032844, NM_018063, NM_001002244, NM_152524, NM_138795, NM_006590, NM_152699, NM_032510, NM_006496, NM_006519, NM_012177, NM_012237, NM_006396, NM_032429, NM_017645, NM_058241, NM_001005, NM_017760, NM_017955, NM_006306, NM_004701, NM_017815, NM_004344, NM_024529, NM_021147, NM_003457, NM_004336, NM_006600, NM_016195, NM_006082, NM_017553, NM_006520, NM_004436, NM_006643, NM_003390, NM_016238, NM_006640, NM_005862, NM_004060, NM_015261, NM_006444, NM_018944, NM_198433, NM_044472, NM_001008938, NM_001009954, NM_001826, NM_001827, NM_018353, NM_001005414, NM_014865, NM_207042, NM_007280, NM_138632, NM_003920, NM_001211, NM_014881, NM_004725, NM_004723, NM_004724, NM_012120, NM_001786, NM_024057, NM_001761, NM_003384, NM_004523, NM_002263, NM_001791, NM_001813, NM_001790, NM_014501, NM_003957, NM_001040285, NM_022662, NM_012112, NM_032182, NM_031942, NM_002358, NM_014875, NM_020412, NM_031299, NM_006628, NM_194259, NM_012325, NM_007221, NM_145697, NM_001012507, NM_002375, NM_006461, NM_019013, NM_001798, NM_031216, NM_006958, NM_181716, NM_001799, NM_018164, NM_198887, NM_024808, NM_006265, NM_016263, NM_003157, NM_015032, NM_001237, NM_152562, NM_181803, NM_006845, NM_006101, NM_024511, NM_025180, NM_015341, NM_033489, NM_017489, NM_144710, NM_005886, NM_006447, NM_170589, NM_016478, NM_014268, NM_020782, NM_006256, NM_144718, NM_033417, NM_015200, NM_024933, NM_031966, NM_020382	4776	350	16792	1.8383201722900218	3.1602253360666975E-17	1.0534084453555658E-17	8.380064179934114E-18
GOTERM_BP_DIRECT	GO:0098609~cell-cell adhesion	148	2.786669177179439	1.7022963685514045E-19	NM_020441, NM_178313, NM_004161, NM_016147, NM_001014436, NM_002394, NM_019030, NM_001025595, NM_052905, NM_005154, NM_003534, NM_006340, NM_003533, NM_005345, NM_006098, NM_020145, NM_003536, NM_003535, NM_006096, NM_018449, NM_006196, NM_000986, NM_015134, NM_016131, NM_004905, NM_001728, NM_001011553, NM_006325, NM_005207, NM_022170, NM_005347, NM_013390, NM_022833, NM_020728, NM_145714, NM_173496, NM_014547, NM_007355, NM_033044, NM_002798, NM_012223, NM_003707, NM_007315, NM_015640, NM_005566, NM_152829, NM_024329, NM_018471, NM_004044, NM_001988, NM_007262, NM_003276, NM_001042517, NM_002827, NM_001981, NM_001568, NM_018685, NM_017450, NM_016224, NM_014038, NM_006142, NM_006392, NM_003530, NM_006597, NM_006148, NM_004701, NM_031992, NM_006145, NM_031262, NM_002882, NM_019116, NM_003088, NM_014426, NM_000117, NM_006600, NM_033551, NM_000972, NM_014043, NM_006990, NM_003529, NM_005470, NM_012402, NM_002948, NM_015659, NM_004735, NM_002353, NM_006585, NM_021018, NM_133180, NM_004104, NM_006836, NM_006640, NM_014666, NM_003404, NM_003576, NM_000224, NM_032025, NM_001008938, NM_014964, NM_001961, NM_030932, NM_005389, NM_014670, NM_153201, NM_018358, NM_001969, NM_001620, NM_021235, NM_014447, NM_004521, NM_004397, NM_003100, NM_145753, NM_012111, NM_016410, NM_004431, NM_014048, NM_004930, NM_012325, NM_006663, NM_005625, NM_182470, NM_005884, NM_184041, NM_003370, NM_005231, NM_006761, NM_033625, NM_004281, NM_182917, NM_080881, NM_007166, NM_001002857, NM_001747, NM_006555, NM_020992, NM_014178, NM_139266, NM_139265, NM_000932, NM_015296, NM_001418, NM_003979, NM_020680, NM_002577, NM_003622, NM_001018067, NM_005022, NM_006256, NM_018842, NM_007229, NM_003973, NM_032552, NM_004954, NM_018011	4776	271	16792	1.9201295530543243	1.2734879133133056E-15	3.183719783283264E-16	3.3769460437332054E-16
GOTERM_BP_DIRECT	GO:0007062~sister chromatid cohesion	66	1.2427038222556956	2.352444690799268E-13	NM_030653, NM_018455, NM_001255, NM_005862, NM_182620, NM_020675, NM_018101, NM_015231, NM_001008938, NM_001009954, NM_080668, NM_001005414, NM_001002876, NM_006733, NM_145060, NM_001211, NM_004725, NM_182513, NM_033632, NM_004724, NM_001012271, NM_016343, NM_017975, NM_024057, NM_017785, NM_001813, NM_018132, NM_018715, NM_002358, NM_001012409, NM_002710, NM_004217, NM_012325, NM_024322, NM_007221, NM_145697, NM_007317, NM_033319, NM_031216, NM_031217, NM_198887, NM_015446, NM_006265, NM_005030, NM_020791, NM_001012267, NM_006267, NM_001809, NM_015110, NM_022909, NM_000430, NM_152524, NM_015032, NM_018486, NM_006101, NM_006845, NM_006306, NM_016320, NM_022145, NM_004336, NM_170589, NM_183352, NM_030808, NM_006600, NM_015200, NM_020238	4776	103	16792	2.2529150607405963	1.7599520729660867E-9	3.5199043679767783E-10	4.666933506314308E-10
GOTERM_BP_DIRECT	GO:0008380~RNA splicing	91	1.7134249670495199	2.3322192193001334E-12	NM_002486, NM_015167, NM_012207, NM_177542, NM_182976, NM_006107, NM_016389, NM_032361, NM_001212, NM_006938, NM_005105, NM_018048, NM_003016, NM_015942, NM_003137, NM_174907, NM_032284, NM_004247, NM_014309, NM_004906, NM_001008697, NM_016507, NM_005088, NM_006775, NM_207296, NM_005676, NM_001011724, NM_002715, NM_019610, NM_003913, NM_018077, NM_182691, NM_033114, NM_014977, NM_013261, NM_003594, NM_002515, NM_006372, NM_144778, NM_014497, NM_005839, NM_203350, NM_001031684, NM_005131, NM_183009, NM_015496, NM_012321, NM_014740, NM_007363, NM_005626, NM_152858, NM_007362, NM_017969, NM_032141, NM_016312, NM_014892, NM_014884, NM_022157, NM_003096, NM_006758, NM_032195, NM_003946, NM_173829, NM_003095, NM_032881, NM_198216, NM_018061, NM_022804, NM_003616, NM_006711, NM_022807, NM_031314, NM_003904, NM_007165, NM_006590, NM_203288, NM_024339, NM_007375, NM_007080, NM_138927, NM_005791, NM_005707, NM_024571, NM_005066, NM_016355, NM_016625, NM_004814, NM_005850, NM_006802, NM_152551, NM_014225, NM_013286, NM_005119, NM_004818	4776	166	16792	1.927398034348449	1.7447528533054424E-8	2.9079214591831715E-9	4.626610206059922E-9
GOTERM_BP_DIRECT	GO:0006406~mRNA export from nucleus	62	1.167388439088684	1.07168868679617E-11	NM_014003, NM_017575, NM_002486, NM_014669, NM_032725, NM_015231, NM_018087, NM_001011537, NM_007342, NM_032361, NM_005105, NM_015092, NM_003016, NM_015135, NM_007242, NM_001968, NM_080632, NM_015665, NM_002911, NM_172020, NM_024057, NM_006275, NM_006924, NM_001015885, NM_006425, NM_006625, NM_005839, NM_001031684, NM_002370, NM_005131, NM_014740, NM_014089, NM_005626, NM_007362, NM_002137, NM_173156, NM_005782, NM_016024, NM_031216, NM_013248, NM_153719, NM_198887, NM_006267, NM_006758, NM_016207, NM_013291, NM_006711, NM_018332, NM_007359, NM_003769, NM_022052, NM_020189, NM_017437, NM_024339, NM_016320, NM_007172, NM_017758, NM_001499, NM_004504, NM_001970, NM_002532, NM_007279	4776	100	16792	2.1798659966499163	8.017291497353085E-8	1.1453273995876145E-8	2.125969400523786E-8
GOTERM_BP_DIRECT	GO:0006281~DNA repair	115	2.165317266051591	4.571996137932361E-11	NM_014950, NM_003146, NM_030653, NM_001924, NM_006666, NM_006337, NM_139178, NM_001033002, NM_138376, NM_181886, NM_002875, NM_015984, NM_001516, NM_015517, NM_005484, NM_016281, NM_006479, NM_015092, NM_199420, NM_173618, NM_002311, NM_032444, NM_002911, NM_032630, NM_031288, NM_001001655, NM_002412, NM_000380, NM_078468, NM_017670, NM_003336, NM_004219, NM_012222, NM_003707, NM_001010895, NM_007317, NM_018124, NM_007126, NM_080649, NM_145080, NM_138704, NM_001048173, NM_002520, NM_014034, NM_003671, NM_012238, NM_199185, NM_001005, NM_006306, NM_016316, NM_017759, NM_002690, NM_002691, NM_018193, NM_002485, NM_004507, NM_013282, NM_017553, NM_003496, NM_202002, NM_005861, NM_152259, NM_003579, NM_001618, NM_013274, NM_006247, NM_133377, NM_002542, NM_003211, NM_003073, NM_000122, NM_004111, NM_130803, NM_015902, NM_004260, NM_012311, NM_001018115, NM_004628, NM_004629, NM_001010984, NM_020165, NM_003686, NM_022362, NM_001001481, NM_025128, NM_001786, NM_007195, NM_006165, NM_016819, NM_000136, NM_032143, NM_005432, NM_007363, NM_001008394, NM_001798, NM_024068, NM_032482, NM_014481, NM_020791, NM_002180, NM_178042, NM_152463, NM_004284, NM_016263, NM_015032, NM_001005781, NM_001253, NM_012286, NM_003362, NM_032941, NM_014176, NM_017915, NM_002439, NM_005316, NM_015200, NM_002431, NM_025049, NM_004100	4776	235	16792	1.720553120210984	3.420311369684015E-7	4.275389853258815E-8	9.069743844847267E-8
GOTERM_BP_DIRECT	GO:0016925~protein sumoylation	66	1.2427038222556956	6.57306377001121E-10	NM_014669, NM_000546, NM_005862, NM_005500, NM_015555, NM_018101, NM_006879, NM_001618, NM_002392, NM_003286, NM_015231, NM_018087, NM_007144, NM_006936, NM_006937, NM_015897, NM_024947, NM_003211, NM_007342, NM_014554, NM_015135, NM_173685, NM_004628, NM_007212, NM_001012271, NM_015665, NM_172020, NM_024057, NM_194439, NM_001015885, NM_004217, NM_001067, NM_005499, NM_001068, NM_014641, NM_194259, NM_014089, NM_001008394, NM_016166, NM_017636, NM_015401, NM_031216, NM_153719, NM_022550, NM_198887, NM_006265, NM_145080, NM_138704, NM_006267, NM_003655, NM_058197, NM_015110, NM_031314, NM_002931, NM_152699, NM_003113, NM_001005781, NM_020649, NM_006306, NM_016320, NM_004344, NM_031262, NM_007172, NM_198040, NM_002532, NM_020238, NM_004689	4776	117	16792	1.9833354808229182	4.917297325768288E-6	5.463675636363519E-7	1.3039376578483086E-6
GOTERM_BP_DIRECT	GO:0000086~G2/M transition of mitotic cell cycle	74	1.3933345885897195	7.675563660498656E-10	NM_004436, NM_012300, NM_202002, NM_001003395, NM_003390, NM_003184, NM_017518, NM_018451, NM_003731, NM_003394, NM_020536, NM_014264, NM_198433, NM_078487, NM_001008938, NM_014711, NM_207107, NM_178014, NM_021009, NM_152905, NM_004203, NM_006009, NM_207042, NM_002497, NM_001012271, NM_007045, NM_001070, NM_032637, NM_001786, NM_018955, NM_003746, NM_003592, NM_002717, NM_001790, NM_006400, NM_007350, NM_003957, NM_015120, NM_012112, NM_024491, NM_006628, NM_181698, NM_012325, NM_012484, NM_004082, NM_001798, NM_001005360, NM_006761, NM_001799, NM_003611, NM_014791, NM_024808, NM_005030, NM_032844, NM_000430, NM_006031, NM_153437, NM_006000, NM_002540, NM_025180, NM_024511, NM_017645, NM_001743, NM_004344, NM_017815, NM_004701, NM_017489, NM_003620, NM_007174, NM_006087, NM_006088, NM_033417, NM_002431, NM_031966, NM_014225, NM_005370, NM_002730	4776	137	16792	1.8991062367800073	5.742072584302704E-6	5.742087421101161E-7	1.5226469418649913E-6
